Description,Type,Version 8 Alias,Version 8 Program,v7 Name,Pgm Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Shop Floor Control,M,,,,,,,,,,
Work Order Entry,T,,,sfe_aa.aon,entry,,,,,,
 WO - Header Entry & WO Delete,T,,,sfe_ab.src,entry,,,,,,
 WO - Customer Order Information ,T,,,sfe_ac.src,entry,,,,,,
 WO - Operation Requirements Processing,T,,,sfe_ad.src,entry,,,,,,
" WO - Material Requirements Processing, BM Explosion ",T,,,sfe_ae.src,entry,,,,,,
 WO - Work Order Subcontract Requirements - Vendor/PO/Req ,T,,,sfe_af.src,entry,,,,,,
 WO - Status Summary,T,,,sfe_ag.src,entry/inquiry,,,,,,
 WO - Hard Copy (runs sfr_xa),T,,,sfe_ah.src,entry/report,,,,,,
 WO - Serial/Lot #'s,T,,,sfe_aj.src,entry/inquiry,,,,,,
 WO - Forward/Backward/Manual Scheduling,T,,,sfe_ak.src,entry,,,,,,
 WO - Cost Summary,T,,,sfe_al.src,entry/inquiry,,,,,,
 WO - Release & Materials Commitment,T,,,sfe_am.src,entry,,,,,,
 WO - Transaction Display ,T,,,sfe_at.src,entry/inquiry,,,,,,
Traveler Printing,T,SFR_WOTRAV,sfr_wotrav.aon,sfr_aa.aon,selection,,Done PPT-BP,PS-BP(25MAR08),,,Testing is incomplete due to empty data file sfe_opentrans
Traveler printing - overlay,T,SFR_WOTRAV,sfr_wotrav_o1.aon,sfr_ab.bbx,read loop,,Done PPT-BP,PS-BP(25MAR08),,,Testing is incomplete due to empty data file sfe_opentrans
Work Order Detail Printing,T,,sfr_worderdet_print.aon,sfr_xa.bbx,overlay,,Done PS-BP,PS-BP(25MAR08),needs,,Testing is incomplete due to empty data file sfe_opentrans
Materials Commitment Entry,T,,,sfe_ca/cb.aon,entry,,,,,,
Pick List Printing,T,SFR_WOPICKLIST,sfr_wopicklist.aon,sfr_ba.aon,selection,,Done PPT-BP,WIP NV-BP,,,"Testing is incomplete due to empty data file sfe_cmmttrans, sfe-13, sfe-23"
Pick List Printing - overlay,T,SFR_WOPICKLIST,sfr_wopicklist_o1.aon,sfr_bb.bbx,report,,Done PPT-BP,WIP NV-BP,needs,,"Testing is incomplete due to empty data file sfe_cmmttrans, sfe-13, sfe-24"
Dispatch Inquiry,T,,,sfe_ha.aon,inquiry ,,,,,,
Load Balance Inquiry,T,,,sfm_ha.aon,inquiry ,,,,,,
Transaction Processing,G,,,,,,,,,,
Create Purchase Requisitions,T,,,sfu_ia.aon,entry,,Done PS-BP,,,,
Create Purchase Requisitions - update,T,,,sfu_ib.bbx,update,,Done PS-BP,,,,
Material Issues Entry,T,,,sfe_da/db/dc.aon,,,,,,,
Material Issues Register,T,,sfr_womatissue.aon,sfr_da.aon,register,,Done PPT-BP,WIP PS-BP,WIP PS-BP,,Testing is incomplete due to empty data file sfe_invtrans
Material Issues - Update,T,,sfu_womatissue.aon,sfu_aa.bbx,update,,Done PS-BP,WIP PS-BP,,,Testing is incomplete due to empty data file sfe_invtrans
Time Sheet Entry,T,,,sfe_ba/bb.aon,,,,,,,
Time Sheet Register,T,,sfr_timesheet.aon,sfr_ca.aon,register,,Done PPT-BP,NV-BP(01APR08),Done NV-BP,,
Time Sheet Register - Summary,T,,sfr_timesheet_o1.aon,sfr_cb.bbx,summary register,,Done PPT-BP,NV-BP(01APR08),Done NV-BP,,
Time Sheet - Update,T,,sfu_timesheet.aon,sfu_ba.bbx,update,,Done PS-BP,,,,"Testing is incomplete due to empty data file sfe-11,sfe-21,sfe-33"
Cost Adjustment Entry,T,,,sfe_fa.aon,,,,,,,
Cost Adjustment Register,T,,sfr_woadjustment.aon,sfr_la.aon,register,,Done PPT-BP,PS-BP(12MAY08),PS-BP(12MAY08),,Testing is incomplete due to empty data file sfe_woopradj
Cost Adjustment Update,T,,sfu_woadjustment.aon,sfu_ga.bbx,update,,Done PS-BP,PS-BP(12MAY08),PS-BP(12MAY08),,Testing is incomplete due to empty data file sfe_woopradj
Work Order Close Data Entry,T,,,sfe_ea/eb.aon,,,,,,,
Closed Work Order Detail Report,T,SFR_CLSWODET,sfr_clswodet.aon,sfr_ea.aon,report selection,,Done PPT-BP,PS-BP(25MAR08),,,Testing is incomplete due to empty data file  sfe_cmmttrans
Closed Work Order Detail Report - overlay,T,SFR_CLSWODET,sfr_clswodet_o1.aon,sfr_eb.bbx,overlay,,Done PPT-BP,PS-BP(25MAR08),needs,,Testing is incomplete due to empty data file  sfe_cmmttrans
Work Order Detail Printing,T,,sfr_worderdet_print.aon,sfr_xa.bbx,overlay,,Done PS-BP,PS-BP(25MAR08),needs,,Testing is incomplete due to empty data file  sfe_cmmttrans
Closed Work Order Summary Register,T,,sfr_closeworeg.aon,sfr_ka.aon,register,,Done PPT-BP,Done NV-BP,Done NV-BP,,
Closed Work Order Update,T,,sfu_closeworeg.aon,sfu_ca.bbx,update,,Done PS-BP,,,,
Reports,G,,,,,,,,,,
Work Order Header Report,T,SFR_WOHEADER,sfr_woheader.aon,sfr_ga.aon,report selection,,Done NV-BP,NV-BP(19MAR08),NV-BP(18APR08),,
Work Order Header Report - overlay,T,SFR_WOHEADER,sfr_woheader_o1.aon,sfr_gb.bbx,overlay,,Done NV-BP,NV-BP(19MAR08),NV-BP(18APR08),,
Shop Floor Dispatch Report,T,SFR_SHPFLRDSPTCH,sfr_shpflrdsptch.aon,sfr_pa.aon,report selection,,Done PPT-BP,PS-BP(31MAR08),PS-BP(30APR08),,
Shop Floor Dispatch Report - overlay,T,SFR_SHPFLRDSPTCH,sfr_shpflrdsptch_o1.aon,sfr_pb.bbx,overlay,,Done PPT-BP,PS-BP(31MAR08),PS-BP(30APR08),,
Production Exception Report,T,SFR_PRODEXCEP ,sfr_prod_excep.aon,sfr_sa.aon,report selection,,Done PS-BP,PS-BP(15FEB08),PS-BP(30APR08),,
Production Exception Report -  overlay,T,SFR_PRODEXCEP ,sfr_prod_excep_o1.aon,sfr_sb.bbx,overlay,,Done PS-BP,PS-BP(15FEB08),PS-BP(30APR08),,
Bottleneck Analysis Report,T,SFR_BOTNECKANA,sfr_botneckana.aon,sfr_ta.aon,report selection,,Done PS-BP,PS-BP(29FEB08),PS-BP(30APR08),,
Bottleneck Analysis Report - overlay,T,SFR_BOTNECKANA,sfr_botneckana_o1.aon,sfr_tb.bbx,overlay,,Done PS-BP,PS-BP(29FEB08),PS-BP(30APR08),,
Labor Efficiency Analysis Report,T,SFR_LABEFFANAREP,sfr_labeffanarep.aon ,sfr_fa.aon,report selection,,Done PPT-BP,PS-BP(12MAR08),PS-BP(30APR08),,
Labor Efficiency Analysis Report - overlay,T,SFR_LABEFFANAREP,sfr_labeffanarep_o1.aon,sfr_fb.bbx,overlay,,Done PPT-BP,PS-BP(12MAR08),PS-BP(30APR08),,
Cost Variance Analysis Report,T,SFR_WOVARREP,sfr_wovarrep.aon,sfr_ha.aon,report selection,,Done PPT-BP,PS-BP(27MAR08),PS-BP(30APR08),,
Cost Variance Analysis Report - overlay,T,SFR_WOVARREP,sfr_wovarrep_o1.aon,sfr_hb.bbx,overlay,,Done PPT-BP,PS-BP(27MAR08),PS-BP(30APR08),,
Date Analysis Report,T,SFR_WORDDATE,sfr_worddate.aon,sfr_na.aon,report selection,,Done PPT-BP,PS-BP(26FEB08),PS-BP(03MAY08),,
Date Analysis Report - overlay,T,SFR_WORDDATE,sfr_worddate_o1.aon,sfr_nb.bbx,overlay,,Done PPT-BP,PS-BP(26FEB08),PS-BP(03MAY08),,
Work Order Detail Report,T,SFR_WORDERDET,sfr_worderdet.aon,sfr_ia.aon,report selection,,Done PPT-BP,PS-BP(25MAR08),WIP PS-BP,,
Work Order Detail Report - overlay,T,SFR_WORDERDET,sfr_worderdet _o1.aon,sfr_ib.bbx,overlay,,Done PPT-BP,PS-BP(25MAR08),WIP PS-BP,,
Work Order Detail Printing,T,,sfr_worderdet_print.aon,sfr_xa.bbx,overlay,,Done PS-BP,PS-BP(25MAR08),WIP PS-BP,,
WO Transaction History Report,T,SFR_WORDTRANS,sfr_wordtrans.aon,sfr_ja.aon,report selection,,Done PPT-BP,NV-BP(26MAR08),NV-BP(22APR08),,
WO Transaction History Report - overlay,T,SFR_WORDTRANS,sfr_wordtrans_o1.aon,sfr_jb.bbx,overlay,,Done PPT-BP,NV-BP(26MAR08),NV-BP(22APR08),,
WO Committed Materials Report,T,SFR_WORDMAT,sfr_wordmat.aon,sfr_ma.aon,report selection,,Done PPT-BP,PS-BP(12MAR08),,,Testing is incomplete due to empty data file sfe_womatdtl
WO Committed Materials Report - overlay,T,SFR_WORDMAT,sfr_wordmat_o1.aon,sfr_mb.bbx,overlay,,Done PPT-BP,PS-BP(12MAR08),,,Testing is incomplete due to empty data file sfe_womatdtl
Work Order Job Status Summary,T,SFR_WORDJOBSTAT,sfr_wordjobstat.aon ,sfr_va.aon,report selection,,Done PS-BP,PS-BP(20MAR08),PS-BP(21MAY08),,
Work Order Job Status Summary - overlay,T,SFR_WORDJOBSTAT,sfr_wordjobstat _o1.aon,sfr_vb.bbx,overlay,,Done PS-BP,PS-BP(20MAR08),PS-BP(21MAY08),,
Period End Processing,G,,,,,,,,,,
Close Recurring Work Orders,T,,,sfu_da.aon,selection,,Done PS-BP,,,,
Close Recurring Work Orders - overlay,T,,,sfu_db.bbx,update overlay,,Done PS-BP,,,,
Closed Recurring WO Detail Report,T,SFR_CLSWODET,sfr_clswodet,sfr_ea.aon,report selection,,Done PPT-BP,PS-BP(25MAR08),,,Testing is incomplete due to empty data file  sfe_cmmttrans
Closed Recurring WO Detail Report - overlay,T,SFR_CLSWODET,sfr_clswodet,sfr_eb.bbx,overlay,,Done PPT-BP,PS-BP(25MAR08),needs,,Testing is incomplete due to empty data file  sfe_cmmttrans
Work Order Detail Printing,T,,sfr_worderdet_print.aon,sfr_xa.bbx,overlay,,Done PS-BP,PS-BP(25MAR08),needs,,Testing is incomplete due to empty data file  sfe_cmmttrans
Closed Recurring WO Summary Report,T,SFR_CLSRECWORDER,sfr_clsrecworder.aon,sfr_ra.aon,register,,Done PS-BP,PS-BP(09MAY08),PS-BP(09MAY08),,Testing is incomplete due to empty data file sfe_opentrans
Closed Recurring WO Update,T,SFR_CLSRECWORDER,sfu_clsrecworder.aon,sfu_ra.bbx,update,,Done PS-BP,PS-BP(09MAY08),PS-BP(09MAY08),,Testing is incomplete due to empty data file sfe_opentrans
Closed Work Order Variance Report,T,SFR_WOVARIANCE,sfr_wovariance.aon,sfr_oa.aon,report selection,,Done PPT-BP,NV-BP(26MAR08),PS-BP(05MAY08),,
Closed Work Order Variance Report - overlay,T,SFR_WOVARIANCE,sfr_wovariance_o1.aon,sfr_ob.bbx,overlay,,Done PPT-BP,NV-BP(26MAR08),PS-BP(05MAY08),,
Period End Update,T,,,sfu_ea.aon,selection,,Done PS-BP,,,,
Period End Update - overlay,T,,,sfu_eb.bbx,update overlay,,Done PS-BP,,,,
Closed Work Order Purge,T,,,sfu_fa.aon,selection,,Done PS-BP,,,,
Closed Work Order Purge - overlay,T,,,sfu_fb.bbx,update overlay,,Done PS-BP,,,,
Maintenance,G,,,,,,,,
Type Codes,T,,,SFC_WOTYPECD,,,,,
Operation Codes,T,,,SFC_OPRTNCOD,,,,,
Employees,T,,,SFM_EMPLMAST,,,,,
Create Shop Floor Calendar,T,,,sfm_da.aon,,,TBD,,
Operations Calendar Maintenance,T,,,SFM_OPCALNDR,,,,,
Copy Shop Floor Calendar,T,,,sfm_ea.aon,,,TBD,,
Print Shop Floor Calendar,T,SFR_CALENDAR,sfr_calendar.aon,sfr_qa.aon,report selection,,Done PS-BP,NV-BP(26MAR08),NV-BP(22APR08)
Print Shop Floor Calendar - overlay,T,SFR_CALENDAR,sfr_calendar_o1.aon,sfr_qb.bbx,overlay,,Done PS-BP,NV-BP(26MAR08),NV-BP(22APR08)
Batch Rescheduling Of Work Orders,T,SFR_BRESCHWO,sfr_breschwo.aon,sfr_ua.aon,report selection,,Done PS-BP,PS-BP(14MAR08),PS-BP(03MAY08)
Batch Rescheduling Of Work Orders - overlay,T,SFR_BRESCHWO,sfr_breschwo _o1.aon,sfr_ub.bbx,overlay/update,,Done PS-BP,PS-BP(14MAR08),PS-BP(03MAY08)
Application Parameters,T,,,sfp_aa.aon,,,,,
Utilities,G,,,,,,,,
Conversion Work Order Entry,T,,,sfx_aa.bbx,entry,,,,
Conversion Work Order Register,T,,sfx_woregister.aon,sfx_ba.bbx,report selection,,Done PS-BP,NV-BP(13MAY08),NV-BP(13MAY08)
Conversion Work Order Register - overlay,T,,sfx_woregister_o1.aon,sfx_bb.bbx,overlay,,Done PS-BP,NV-BP(13MAY08),NV-BP(13MAY08)
Conversion Work Order Update,T,,sfx_woregupdt.aon,sfx_da.bbx,update,,WIP PS-BP,NV-BP(13MAY08),NV-BP(13MAY08)
Publics,G,,,,,,,,
Schedule: Days Forecast Ahead/Behind (Public/Called),P,,sfc_schdayfore.aon,sfc_aa.src,,,Done PPT-BP,PS-BP(14MAR08),PS-BP(03MAY08)
Operations Hours Between Days(Public/Called),P,SFR_SHPFLRDSPTCH,sfc_ophours.aon,sfc_ba.src,,,Done PPT-BP,PS-BP(31MAR08),PS-BP(30APR08)
SFC - Serial/Lot # Auto Close,P,,,sfc_ca.src,,,Done PPT-BP,,
