Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,Needs CodePort,Needs DocOut,DocOut Status,Normalization Mods Done,Comments
Transaction History Listing,IVR_TRANSHIST,T,IVR_TRANSHIST,ivr_transhist.aon,IVR.QA,,,,,,,
LIFO/FIFO Tier Report,IVR_LIFOFIFO,T,IVR_LIFOFIFO,ivr_lifofifo.aon,IVR.XA,,,,,,,
Synonyms Listing,IVR_ITEMSYN,T,IVR_ITEMSYN,ivr_itemsyn/ivr_itemsyn_o1,IVR.SA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.SB;sa/sb converted to ivr_itemsyn and ivr_itemsyn_o1; modified to use alt key on ivm-14 rather than ivm-24 xref. Select Form built.CH 20Aug mods
Alternate/Superceded Items Listing,IVR_ITEMALT,T,IVR_ITEMALT,ivr_itemalt.aon & _o1,IVR.2A,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.2B 20Aug mods converted to ivr_itemalt & _01. Select form built. Report tested but there aren't any items to include. SL
Inventory Description Listing,IVR_ITEMDESC,T,IVR_ITEMDESC,ivr_itemdesc/ivr_itemdesc_o1,IVR.TA,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,"IVR.TB; found select screen, so maybe someone did this in the past; I created ivr_itemdesc from ivr_ta, and ivr_itemdesc_o1 from ivr_tb. CH.20Aug mods"
Item Detail Listing,IVR_ITEMDETAIL,T,IVR_ITEMDETAIL,ivr_itemdetail & _o1,IVR.RA,BJ-BP,P(A/B),Y,Y,Done SS-BP,Done BJ-BP,IVR.RB 20Aug mods
Item Labels,IVR_ITEMLABELS,T,,ivr_1a.aon,IVR.1A,BJ-BP,Y-CH,Y,,,Done BJ-BP,IVR.1B;1a/1b converted to ivr_itemlabels and ivr_itemlabels_o1; Select Form built. CH. 20Aug mods
Lotted/Serialized Inventory,IVMENU_LOTS,G,,,,,,,,,,
History By Item Inquiry,IVM_FA,T,,ivm_fa.aon,IVM.FA,,,,,,,
History By Customer Inquiry,IVM_IA,T,,ivm_ia.aon,IVM.IA,,,,,,,
History By Vendor Inquiry,IVM_JA,T,,ivm_ja.aon,IVM.JA,,,,,,,
History By Item Report,IVR_LSTRANHIST,T,IVR_LSTRANHIST,,IVR.7A,,,,,,,
History By Customer Report,IVR_9A,T,,ivr_9a.aon,IVR.9A,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,IVR.9B 20Aug mods
History By Vendor Report,IVR_8A,T,,ivr_8a.aon,IVR.8A,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,IVR.8B 20Aug mods
Stock Status Report,IVR_YA,T,,ivr_ya.aon,IVR.YA,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,IVR.YB 20Aug mods
Lot/Serial Number Activity Report,IVR_LOTACTIVITY,T,IVR_LOTACTIVITY,ivr_lotactivity.aon & _o1,IVR.6A,BJ-BP,P(A/B),Y,Y,Done SV-BP,Done BJ-BP,IVR.6B 20Aug mods;converted to ivr_lotactivity & _o1. Select Form built. SL Data tested. The lot sequence table IVX_LSXREF is empty.  The lot/serial reports could use the alternate key to IVM_LSMASTER.
Period End Processing,IVMENU_PEND,G,,,,,,,,,,
A B C Analysis Report,IVR_PA,T,,ivr_pa.aon,IVR.PA,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,"IVR.PB,IVR.PC 20Aug mods"
"EOQ, Order Point & Safety Stock Report",IVR_OA,T,,ivr_oa.aon,IVR.OA,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,"IVR.OB,IVR.OC 20Aug mods"
Inventory Valuation Report,IVR_NA,T,,ivr_na.aon,IVR.NA,BJ-BP,P(A/B),Y,Y,,Done BJ-BP,IVR.NB 20Aug mods
Purge Inventory Transaction History,IVU_TA,T,,ivu_ta.aon,IVU.TA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Purge Inventory Activity,IVU_BA,T,,ivu_ba.aon,IVU.BA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Purge Closed Lot/Serial Numbers,IVU_EA,T,,ivu_ea.aon,IVU.EA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Purge Lot/Serial Transaction History,IVU_HA,T,,ivu_ha.aon,IVU.HA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Purge Lot/Serial Activity,IVU_IA,T,,ivu_ia.aon,IVU.IA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Period End Update,IVU_CA,T,,ivu_ca.aon,IVU.CA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Maintenance,IVMENU_MAINT,G,,,,,,,,,,
Inventory Items,IVM_ITEMMAST,T,IVM_ITEMMAST,,IVM.MA,CH,Y,,,,,
Product Types,IVC_PRODCODE,T,IVC_PRODCODE,,IVM.AA,NL/CLT,P,,,,,CLT
Transaction Codes,IVC_TRANCODE,T,IVC_TRANCODE,,IVM.BA,NL,Y,,,,,
Buyer Codes,IVC_BUYCODE,T,IVC_BUYCODE,,IVM.EA,NL/CLT,P,,,,,CLT
Description Masterfile,IVM_DESCRIP1,T,IVM_DESCRIP1,,IVM.HA,NL/CLT,P,,,,,CLT
Warehouses,IVC_WHSECODE,T,IVC_WHSECODE,,IVM.CA,NL/CLT,P,,,,,CLT
Item Classes,IVM_CLASSES,T,IVC_CLASCODE,,IVM.DA,CLT,P,,,,,CLT 
Item Types,IVM_GA,T,IVC_TYPECODE,ivm_ga.aon,IVM.GA,CLT,P,,,,,
Parameters,IVMENU_PARAMS,G,ARS_PARAMS,,,,,,,,,
Application Parameters,IV_APPPARAMS,T,IVS_PARAMS,,IVP.AA,CLT,P,,,,,
Inventory Factors,IV_INVFACTORS,T,,,IVP.AA,,P,,,,,
New Item Defaults,IV_ITEMDEFAULTS,T,,,IVP.AA,,P,,,,,
Default Display Columns,IV_DEFAULTCOLS,T,IVS_COLUMNS,,IVP.AA,CLT,P, ,,,,"New table, IVC_ACTIVYPES in version 8 to replace hard-coding in prev. versions - not maintainable by the user, but accessed from this form"
Utilities,IVMENU_UTILITIES,G,,,,,,,,,,
Rebuild Cross References,IVX_CROSSREF,A,IVX_CROSSREF,,IVX.AA,,,,,,,
Rebuild Lot/Serial Cross References,IVX_LSXREFS,T,IVX_LSXREFS,,IVX.UA,,,,,,,
Rebuild Lot/Serial Transaction Cross References,IVX_LSTRANS,T,IVX_LSTRANS,,IVX.HA,,,,,,,
Rebuild Committed Quantities,IVX_COMMITTED,T,IVX_COMMITTED,,IVX.CA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Rebuild On Order Quantities,IVX_ONORDER,T,IVX_ONORDER,,IVX.EA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods
Rebuild Beginning Balances,IVX_BEGBALS,T,IVX_BEGBALS,,IVX.BA,BJ-BP,P,Y,,,Done BJ-BP,20Aug mods,
LIFO/FIFO Tier Maintenance,IVX_LIFOFIFO,T,IVX_LIFOFIFO,,IVX.FA,,,,,,,,
Copy Items to Another Warehouse,IVX_COPYITEM,T,IVX_COPYITEM,,IVX.DA,,,,,,,,
Rebuild Unit Costs,IVX_REBUILDCOSTS,A,,ivx_rebuildcosts.aon,IVX.IA,JL?,P,,,,,,
Purchase Order Processing,POMENU,M,,,,,,,,,,,
Replenishment Selection,POE_FA,T,,poe_fa.aon,POE.FA,,,,,,,,
Replenishment Register,POR_FA,T,,por_fa.aon,POR.FA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,POR.FB,20Aug mods
Purchase Requisition Entry,POE_AA,T,,poe_aa.aon,POE.AA,,,,,,,,
Print Purchase Requisitions,POR_XA,T,,por_xa.aon,POR.XA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,POR.BB,20Aug mods
Purchase Requisition Register,POR_AA,T,,por_aa.aon,POR.AA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,POR.AB,20Aug mods
Purchase Order Entry,POE_BA,T,,poe_ba.aon,POE.BA,,,,,,,,
Print Purchase Orders,POR_BA,T,,por_ba.aon,POR.BA,PPT-BP,P(A/B),Y,,,Done PPT-BP,POR.BB,20Aug mods
Quality Assurance Receipt Entry,POE_CA,T,,poe_ca.aon,POE.CA,,,,,,,,
Quality Assurance Receipt Register,POR_CA,T,,por_ca.aon,POR.CA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,POR.CB,20Aug mods
Purchase Order Receipt Entry,POE_DA,T,,poe_da.aon,POE.DA,,,,,,,,
Purchase Order Receipt Register,POR_DA,T,,por_da.aon,POR.DA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,POR.DB,20Aug mods
Purchase Order Invoice Entry,POE_EA,T,,poe_ea.aon,POE.EA,,,,,,,,
Purchase Order Invoice Register,POR_EA,T,,por_ea.aon,POR.EA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,POR.EB,20Aug mods
Reports,POMENU_REPORTS,G,,,,,,,,,,,
Open Purchase Requisition Report,POR_GA,T,,por_ga.aon,POR.GA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
Requisitions By Item Report,POR_HA,T,,por_ha.aon,POR.HA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
Open Purchase Order Report,POR_IA,T,,por_ia.aon,POR.IA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
Purchase Orders By Item Report,POR_JA,T,,por_ja.aon,POR.JA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
Purchase Order Expediting Report,POR_KA,T,,por_ka.aon,POR.KA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
Purchase Order Status Report,POR_LA,T,,por_la.aon,POR.LA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
PO Cash Requirements Report,POR_MA,T,,por_ma.aon,POR.MA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
Billed/Unbilled PO Receipts Report,POR_TA,T,,por_ta.aon,POR.TA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
PO Receipt Variance Report,POR_NA,T,,por_na.aon,POR.NA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
PO Receipt Cost Variance Report,POR_OA,T,,por_oa.aon,POR.OA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
PO Receipt History By Vendor Report,POR_PA,T,,por_pa.aon,POR.PA,PPT-BP,P(A/B/C),Y,Y,,Done PPT-BP,POR.PC? JCM OPTIONS ENTRY,20Aug mods
PO Receipt History By Item Report,POR_QA,T,,por_qa.aon,POR.QA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
QA Work In Process Report,POR_RA,T,,por_ra.aon,POR.RA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
QA Rejection History Report,POR_SA,T,,por_sa.aon,POR.SA,PPT-BP,P(A/B),Y,Y,,Done PPT-BP,JCM OPTIONS ENTRY,20Aug mods
Period End Processing,POMENU_PEND,G,,,,,,,,,,,
Purge PO Receipt History,POU_FA,T,,pou_fa.aon,POU.FA,PPT-BP,P,Y,,,Done PPT-BP,,20Aug mods
Purge Rejection History,POU_HA,T,,pou_ha.aon,POU.HA,PPT-BP,P,Y,,,Done PPT-BP,,20Aug mods
Maintenance,POMENU_MAINT,G,,,,,,,,,,,
Create Purchase Calendar,POM_AA,T,,pom_aa.aon,POM.AA,PPT-BP,P,Y,,,Done PPT-BP,,20Aug mods
Purchase Calendar Maint,POM_BA,T,,pom_ba.aon,POM.BA,,,,,,,,
Print Purchase Calendar,POR_UA,T,,por_ua.aon,POR.UA,PPT-BP,P,Y,Y,,Done PPT-BP,,20Aug mods
Purge Purchase Calendar,POU_GA,T,,pou_ga.aon,POU.GA,PPT-BP,P,Y,,,Done PPT-BP,,20Aug mods
Line Codes,POM_CA,T,POC_LINECODE,pom_ca.aon,POM.CA,CLT,P,,,,,,
Message Codes,POC_MSGCODE,T,POC_MSGCODE,,POM.DA,CLT,P,,,,,also POC_MSGLINE is done,
Rejection Codes,POM_FA,T,POC_REJCTCOD,pom_fa.aon,POM.FA,CLT,P,,,,,,
Parameters,POMENU_PARAMS,G,ARS_PARAMS,,,,,,,,,,
Application Parameters,PO_APP_PARAMS,T,POS_PARAMS,,POP.AA,CLT,Y,,,,,col D was IVS_PARAMS,
Default Values,PO_DEFAULTVALS,T,,,POP.AA,,,,,,,,
Utilities,POMENU_UTILITIES,G,,,,,,,,,,,
Rebuild Cross References,POX_CROSSREF,A,POX_CROSSREF,,POX.AA,,,,,,,,
Rebuild History Cross References,POX_HISTXREF,A,POX_HISTXREF,,POX.CA,,,,,,,,
Remove Unlinked Detail Lines,POX_UNLINKED,T,POX_UNLINKED,,POX.BA,PPT-BP,P,Y,,,Done PPT-BP,,20Aug mods
Sales Analysis,SAMENU,M,,,,,,,,,,,
By Customer,SAM_AA,T,,sam_aa.aon,SAM.AA,JB,Y,,,,,Done - JB,
By Territory,SAM_BA,T,,sam_ba.aon,SAM.BA,JB,Y,,,,,Done - JB,
By Salesperson,SAM_CA,T,,sam_ca.aon,SAM.CA,JB,Y,,,,,Done - JB,
By Customer Type,SAM_DA,T,,sam_da.aon,SAM.DA,JB,Y,,,,,Done - JB,
By Customer Ship-To,SAM_EA,T,,sam_ea.aon,SAM.EA,JB,Y,,,,,Done - JB,
By SIC,SAM_FA,T,,sam_fa.aon,SAM.FA,JB,Y,,,,,Done - JB,
By Product,SAM_GA,T,,sam_ga.aon,SAM.GA,JB,Y,,,,,Done - JB,
By Warehouse,SAM_HA,T,,sam_ha.aon,SAM.HA,JB,Y,,,,,Done - JB,
By Stocking Vendor,SAM_IA,T,,sam_ia.aon,SAM.IA,JB,Y,,,,,Done - JB,
By Distribution Code,SAM_JA,T,,sam_ja.aon,SAM.JA,JB,Y,,,,,Done - JB,
By Non-Stock Item,SAM_KA,T,,sam_ka.aon,SAM.KA,JB,P,,,,,,
By Product/Item/Cust,SAM_LA,T,,sam_la.aon,SAM.LA,JB,P,,,,,,
Reports,SAMENU_REPORTS,G,,,,,,,,
By Customer,SAR_CUSTOMER,T,SAR_CUSTOMER,,SAR.AA,JB,Y,,Y,Done-JB
By Territory,SAR_TERRITRY,T,SAR_TERRITRY,,SAR.BA,JB,Y,,Y,Done-JB
By Salesperson,SAR_SALESPSN,T,SAR_SALESPSN,,SAR.CA,JB,Y,,Y,Done-JB
By Customer Type,SAR_CUSTTYPE,T,SAR_CUSTTYPE,,SAR.DA,JB,Y,,Y,Done-JB
By Customer Ship-To,SAR_CUSTSHIP,T,SAR_CUSTSHIP,,SAR.EA,JB,Y,,Y,Done-JB
By SIC,SAR_CUSTSIC,T,SAR_CUSTSIC,,SAR.FA,JB,Y,,Y,Done-JB
By Product,SAR_ITEM,T,SAR_ITEM,,SAR.GA,JB,Y,,Y,Done-JB
By Warehouse,SAR_WAREHSE,T,SAR_WAREHSE,,SAR.HA,JB,Y,,Y,Done-JB
By Stocking Vendor,SAR_VENDOR,T,SAR_VENDOR,,SAR.IA,JB,Y,,Y,Done-JB
By Distribution Code,SAR_DISTCODE,T,SAR_DISTCODE,,SAR.JA,JB,Y,,Y,Done-JB
By Non-Stock Item,SAR_NONSTOCK,T,SAR_NONSTOCK,,SAR.KA,JB,Y,,Y,Done-JB
By Product/Item/Cust,SAR_PRODITEMCUST,T,SAR_PRODITMCST,,SAR.LA,JB,Y,,Y,Done-JB
By Territory/Cust,SAR_TA,T,SAR_CUSTTERR,sar_ta.aon,SAR.TA,JB,Y,,Y,Done-JB
Period End Processing,SAMENU_PEND,G,,,,,,,,
Purge Zero Balance Records,SAU_AA,T,,sau_aa.aon,SAU.AA,,,Y,,
Maintenance,SAMENU_MAINT,G,,,,,,,,,,
Application Parameters,SAP_AA,T,,sap_aa.aon,SAP.AA,,,,,,,
Utilities,SAMENU_UTILITIES,G,,,,,,,,,,
Rebuild Cross References,SAX_CROSSREF,A,SAX_CROSSREF,,SAX.AA,,,,,,,
Rebuild Sales Analysis from Invoice History,SAX_INVHIST,T,SAX_INVHIST,,SAX.BA,,,Y,,,,
Sales Order Processing,OPMENU,M,,,,,,,,,,
Order Entry,OPE_ORDHDR,T,OPE_ORDHDR,,OPE.DA,,,,,,,
Order Picking Listing,OPR_NA,T,,opr_na.aon,OPR.NA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.PA 20Aug mods
Commit and Release Future Orders,OPU_EA,T,,opu_ea.aon,OPU.EA,SS-BP,P,Y,,,Done SS-BP,20Aug mods
Invoice Entry,OPE_CA,T,,ope_ca.aon,OPE.CA,,,,,,,
Invoice Edit Report,OPR_INVEDIT,T,OPR_INVEDIT,,OPR.JA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.JB20Aug mods
Invoice Printing,OPR_INVOICE,T,OPR_INVOICE,,OPR.GA,SS-BP,P,Y,,,Done SS-BP,20Aug mods
Sales Register,OPR_SALESREG,T,OPR_SALESREG,,OPR.HA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.HB 20Aug mods
Price Quotation Inquiry,OPM_PA,T,,opm_pa.aon,OPM.PA,,,,,,,
Credit Manager's Review and Release,OPM_QA,T,,opm_qa.aon,ARM.QA,,,,,,,
Reports,OPMENU_REPORTS,G,,,,,,,,,,
Open Order Detail Report,OPR_DETAIL,T,OPR_DETAIL,,OPR.IA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.IB 20Aug mods
Order Status Report By Customer,OPR_CUSTSTATUS,T,OPR_CUSTSTATUS,,OPR.QA,SS-BP,P,Y,Y,,Done SS-BP,20Aug mods
Order Status Report By Item,OPR_ITEMSTATUS,T,OPR_ITEMSTATUS,,OPR.OA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.OB 20Aug mods
Shipping Schedule Report,OPR_SHIPPING,T,OPR_SHIPPING,,OPR.AA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.AB 20Aug mods
Customer Job Report,OPR_CUSTJOBS,T,OPR_CUSTJOBS,,OPR.FA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.FB 20Aug mods
Sales Tax Report,OPR_TA,T,,opr_ta.aon,OPR.TA,SS-BP,P,Y,Y,,Done SS-BP,20Aug mods
Monthly Sales Report,OPR_MONTHLYSALES,T,,opr_ea.aon,OPR.EA,SS-BP,P,Y,Y,,Done SS-BP,OPR.EB 20Aug mods
Invoice History Report,OPR_KA,T,,opr_ka.aon,OPR.KA,SS-BP,P,Y,Y,,Done SS-BP,OPR.KB 20Aug mods
Period End Processing,OPMENU_PEND,G,,,,,,,,,,
Sales Tax Report,OPR_SALESTAX,T,OPR_SALESTAX,,OPR.TA,SS-BP,P,Y,Y,,Done SS-BP,20Aug mods
Sales Tax History Purge,OPU_FA,T,,opu_fa.aon,OPU.FA,SS-BP,P,Y,,,Done SS-BP,20Aug mods
Salesperson Commission Report,OPR_COMMISSION,T,OPR_COMMISSION,,OPR.MA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.MB 20Aug mods
Commission File Purge,OPU_AA,T,,opu_aa.aon,OPU.AA,SS-BP,P(A/B),Y,,,Done SS-BP,OPU.AB 20Aug mods
Monthly Sales Report,OPR_EA,T,,opr_ea.aon,OPR.EA,SS-BP,P(A/B),Y,Y,,Done SS-BP,20Aug mods
Monthly Sales Register,OPR_MONTHREG,T,OPR_MONTHREG,,OPR.ZA,SS-BP,P(A/B),Y,Y,,Done SS-BP,OPR.ZB 20Aug mods
Invoice History Report,OPR_HISTORY,T,OPR_HISTORY,,OPR.KA,SS-BP,P(A/B),Y,Y,,Done SS-BP,20Aug mods
Invoice History Purge,OPU_DA,T,,opu_da.aon,OPU.DA,SS-BP,P,Y,,,Done SS-BP,20Aug mods
Maintenance,OPMENU_MAINT,G,,,,,,,,,,
Line Codes,OPC_LINECODE,T,OPC_LINECODE,,OPM.EA,PM,Y,,,,,JCM 20Aug mods
Salespersons,ARC_SALECODEOP,T,ARC_SALECODE,,ARM.FA,PM,Y,,,,,This is duplicate.   See AR section.
Territory Codes,ARC_TERRCODEOP,T,ARC_TERRCODE,,ARM.HA,PM,Y,,,,,This is duplicate.   See AR section.
Tax Codes,OPC_TAXCODE,T,OPC_TAXCODE,,ARM.JA,PM,Y,,,,,JCM
Sales Discount Codes,OPM_IA,T,OPC_DISCCODE,opm_ia.aon,ARM.IA,CLT,Y,,,,,Col D Change
Standard Message Header,OPC_MSG_HDR,T,OPC_MSG_HDR,,ARM.GA,PM,Y,,,,,
Customer Price Codes,OPC_PRICECDS,T,OPC_PRICECDS,,OPM.DA,PM,Y,,,,,
Pricing Table,OPM_CA,T,,opm_ca.aon,OPM.CA,,,,,,,
Contract Pricing,IVM_ITEMPRIC,T,IVM_ITEMPRIC,,OPM.BA,PM,Y,,,,,
Freight Terms Codes,OPM_FRTTERMS,T,OPM_FRTTERMS,,v7,PM,Y,,,,,
Parameters,OPMENU_PARAMS,G,,opp_aa.aon,,,,,,,,
Application Parameters,OP_APPPARAMS,T,,,OPP.AA,,,,,,,
Credit Management Parameters,OPS_CREDIT,T,OPS_CREDIT,,OPP.AA,,,,,,,
New Customer Defaults,OP_CUSTDEFAULTS,T,,,OPP.AA,,,,,,,
Utilities,OPMENU_UTILITIES,G,,,,,
Rebuild Open Order Cross References,OPX_CROSSREF,T,OPX_CROSSREF,,OPX.DA,,
Rebuild Invoice History Cross References,OPX_HISTXREF,T,OPX_HISTXREF,,OPX.GA,,
Remove Unlinked Detail Lines,OPX_UNLINKED,T,OPX_UNLINKED,,OPX.EA,,
Rebuild Order/Invoice Print File,OPX_PRNTFILE,T,OPX_PRNTFILE,,OPX.FA,,
Reset MTD and Next Month Totals,OPX_MTDNMTD,T,OPX_MTDNMTD,,OPX.AA,,
Administration,ADMENU,M,,,,,
Maintenance,ADMENU_MAINT,G,,,,,
Menus,MENU_MAINT,A,,rdm_menu_maint.aon,,SV,P
Firms,ADM_FIRMS,T,ADM_FIRMS,,,SV,Y
Applications,ADM_MODULES,T,ADM_MODULES,,,SV,Y
System Messages,ADS_MESSAGES,T,ADS_MESSAGES,,,SV,Y
Input/Display Masks,ADS_MASKS,T,ADS_MASKS,,,SV,Y
Sequence Numbers,ADS_SEQUENCES,T,ADS_SEQUENCES,,,SV,Y
Languages,ADC_LANGUAGE,T,ADC_LANGUAGE,,,SV,Y
Security,ADMENU_SECURITY,G,,,,,
Users,ADM_USER,T,ADM_USER,,,SV,Y
Security Roles,ADM_ROLE,T,ADM_ROLE,,,SV,Y
Security Processes,ADM_SECPROCS,T,ADM_SECPROCS,,,SV,Y
Security Administration,RDM_SECURITY,A,,rdm_security.aon,,SV,P
Document Management,ADMENU_DOCMGT,G,,,,,
Document Groups,ADS_DOC_GROUP,T,ADS_DOC_GROUP,,,SV,Y
Document Print Settings,ADS_DOC_SETTINGS,T,ADS_DOC_SETTINGS,,,SV,Y
Development,DEVMENU,M,,,,,
Maintenance,DEVMENU_MAINT,G,,,,,
Data Elements,DEVMENU_DDELEMS,G,,,,,
Data Elements,DDM_ELEMENTS,T,DDM_ELEMENTS,,,SV,Y
Compression Codes,DDM_COMP_CODES,T,DDM_COMP_CODES,,,SV,Y
Expansion Codes,DDM_EXP_CODES,T,DDM_EXP_CODES,,,SV,Y
Drilldown Definitions,DDM_DRILL_DEFS,T,DDM_DRILL_DEFS,,,SV,Y
Tables,DEVMENU_DDTABLES,G,,,,,
Tables,DDM_TABLES,T,DDM_TABLES,,,SV,Y
Table Layout Inquiry,RDX_TABLE_LAYOUT,A,,rdx_table_layout.aon,,SV,Y
Table Data Inquiry,RDX_TABLE_INQ,A,,rdx_table_inq.aon,,SV,Y
Form Designer,FORM_DESIGNER,A,,rdm_rde_main.aon,,SV,Y
Utilities,DEVMENU_UTILITIES,G,,,,,
Database Record Import,RDX_DD_IMPORT,A,,rdx_dd_import.aon,,SV,Y
Export to ODBC Dictionary,RDM_DD_EXPORT,A,,rdm_dd_export.aon,,SV,Y
Remove Applications,RDX_REMOVE_APPS,A,,rdx_remove_apps.aon,,SV,Y
Clear A Table,ADX_CLEARTABLE,A,,adx_cleartable.aon,,SV,Y
Utilities,DEV_UTILITIES,M,,,,,
Launch Custom Program,ADX_LAUNCH_PROGRAM,A,,adx_launch_program.aon,,SV,Y
Launch Custom Form,ADX_LAUNCH_FORM,A,,adx_launch_form.aon,,SV,Y
Display Program Information,ADX_DISPLAYPROG,A,,adx_displayprog.aon,,SV,Y
Application Syswindow,ADX_SYSWINDOW,A,,adx_syswindow.aon,,SV,Y
Default Syswindow,RDM_SYSWINDOW,A,,rdm_syswindow.aon,,SV,Y
